2024-08-30,2024-09-03,NAP–AMS,€217,easyJet,Nonstop,2 hr 45 min
2024-08-30,2024-09-04,NAP–AMS,€199,Separate tickets booked together,1 stop,8 hr 40 min
2024-09-06,2024-09-09,NAP–AMS,€156,Separate tickets booked together,1 stop,5 hr
2024-09-06,2024-09-10,NAP–AMS,€149,easyJet,Nonstop,2 hr 45 min
2024-09-06,2024-09-11,NAP–AMS,€137,easyJet,Nonstop,2 hr 45 min
2024-09-13,2024-09-16,NAP–AMS,€154,Separate tickets booked together,1 stop,5 hr
2024-09-13,2024-09-18,NAP–AMS,€149,Separate tickets booked together,1 stop,5 hr
2024-09-20,2024-09-23,NAP–AMS,€140,Separate tickets booked together,1 stop,10 hr 5 min
2024-09-20,2024-09-25,NAP–AMS,€146,Separate tickets booked together,1 stop,10 hr 5 min
2024-09-27,2024-10-01,NAP–AMS,€155,easyJet,Nonstop,2 hr 45 min
2024-09-27,2024-10-02,NAP–AMS,€163,easyJet,Nonstop,2 hr 45 min
2024-09-27,2024-09-30,NAP–AMS,€165,easyJet,Nonstop,2 hr 45 min
2024-09-27,2024-10-01,NAP–AMS,€155,easyJet,Nonstop,2 hr 45 min
2024-09-27,2024-10-02,NAP–AMS,€163,easyJet,Nonstop,2 hr 45 min
2024-10-04,2024-10-07,NAP–AMS,€142,Transavia,Nonstop,2 hr 40 min
2024-10-04,2024-10-08,NAP–AMS,€132,Transavia,Nonstop,2 hr 40 min
2024-10-04,2024-10-09,NAP–AMS,€136,Transavia,Nonstop,2 hr 40 min
2024-10-11,2024-10-14,NAP–AMS,€152,Transavia,Nonstop,2 hr 40 min
2024-10-11,2024-10-15,NAP–AMS,€143,Transavia,Nonstop,2 hr 40 min
2024-10-11,2024-10-16,NAP–AMS,€141,Transavia,Nonstop,2 hr 40 min
2024-10-18,2024-10-21,NAP–AMS,€173,Separate tickets booked together,1 stop,5 hr
2024-10-18,2024-10-22,NAP–AMS,€139,Separate tickets booked together,1 stop,10 hr 5 min
2024-10-18,2024-10-23,NAP–AMS,€139,Separate tickets booked together,1 stop,10 hr 5 min
2024-10-25,2024-10-28,NAP–AMS,€167,Separate tickets booked together,1 stop,5 hr
2024-10-25,2024-10-29,NAP–AMS,€156,easyJet,Nonstop,2 hr 45 min
2024-10-25,2024-10-30,NAP–AMS,€156,easyJet,Nonstop,2 hr 45 min
2024-11-01,2024-11-04,NAP–AMS,€205,ITA,1 stop,8 hr 25 min
2024-11-01,2024-11-05,NAP–AMS,€183,ITA,1 stop,8 hr 25 min
2024-11-01,2024-11-06,NAP–AMS,€191,ITA,1 stop,8 hr 25 min
